Unnamed: 0,Producto,Peso,Categoria,Marca,Link,link,PLU,Puntos,EAN
479,Café SELLO ROJO Molido fuerte (600 gr),600 gr,Café,SELLO ROJO,https://www.exito.com/cafe-fuerte-tostado-y-molido-x-600-gr-576815/p,https://www.exito.com/cafe-fuerte-tostado-y-molido-x-600-gr-576815/p,419396,3.321,7702032106691
480,Chocolate de mesa CORONA TRADICIONAL PASTILLADO (450 gr),450 gr,Chocolate,CORONA TRADICIONAL PASTILLADO,https://www.exito.com/chocolate-de-mesa-corona-tradicional-pastillado-450-gr-3190994/p,https://www.exito.com/chocolate-de-mesa-corona-tradicional-pastillado-450-gr-3190994/p,3622642,2.279,7702007084535
481,Café AGUILA ROJA (500 gr),500 gr,Café,AGUILA ROJA,https://www.exito.com/cafe-molido-500-gr-50368/p,https://www.exito.com/cafe-molido-500-gr-50368/p,13528,2.871,7702040047009
482,Café EXITO MARCA PROPIA tostado y molido (500 gr),500 gr,Café,EXITO MARCA PROPIA,https://www.exito.com/caf-molido-x-500-gr-34378/p,https://www.exito.com/caf-molido-x-500-gr-34378/p,268952,2.414,7701001073958
483,Chocolate de mesa LA ESPECIAL pastillado con azúcar (400 gr),400 gr,Chocolate,LA ESPECIAL,https://www.exito.com/chocolate-de-mesa-pastillado-con-azucar-la-especial-400-gr-3158742/p,https://www.exito.com/chocolate-de-mesa-pastillado-con-azucar-la-especial-400-gr-3158742/p,3526075,1.679,7702007082609
484,Café JUAN VALDEZ Colina molido (454 gr),454 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-tostado-molido-juan-valdez-454-gr-3022702/p,https://www.exito.com/cafe-tostado-molido-juan-valdez-454-gr-3022702/p,3036219,4.857,7701362015956
485,Café LUKAFE tostado y molido intenso (600 gr),600 gr,Café,LUKAFE,https://www.exito.com/cafe-molido-lukafe-intenso-600g-lukafe-600-gr-3160465/p,https://www.exito.com/cafe-molido-lukafe-intenso-600g-lukafe-600-gr-3160465/p,3531587,2.700,7702088213770
486,Café instantáneo NESCAFE TRADICIÓN (231 gr),231 gr,Café,NESCAFE TRADICIÓN,https://www.exito.com/cafe-tradicion-lata-nescafe-231-gr-3026605/p,https://www.exito.com/cafe-tradicion-lata-nescafe-231-gr-3026605/p,3053139,4.400,7702024449959
487,Chocolate en polvo LYNE Endulzado (200 gr),200 gr,Chocolate,LYNE,https://www.exito.com/cacao-en-polvo-clasico-endulzado-lyne-200-gr-3122837/p,https://www.exito.com/cacao-en-polvo-clasico-endulzado-lyne-200-gr-3122837/p,3383742,2.046,7702007077995
488,Café SELLO ROJO Molido (400 gr),400 gr,Café,SELLO ROJO,https://www.exito.com/cafe-molido-872064/p,https://www.exito.com/cafe-molido-872064/p,1191804,2.114,7702032110896
489,Cafe TOSTAO Tostado y Molido (454 gr),454 gr,Cafe,TOSTAO,https://www.exito.com/cafe-tostao-tostado-y-molido-454-gr-3178996/p,https://www.exito.com/cafe-tostao-tostado-y-molido-454-gr-3178996/p,3576787,2.074,7708024204611
490,Chocolate SOL de mesa tradicional en pasta (500 gr),500 gr,Chocolate,SOL,https://www.exito.com/chocolate-con-azucar-15727/p,https://www.exito.com/chocolate-con-azucar-15727/p,5989,2.129,7702088092054
